16:29:23.389 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
16:29:23.908 |V| DeployedPackages              | :1                 | Scanned fir “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin”, lwtime 2022-03-24T15:29:21, metadata files (20pcs)[JetBrains.ExternalAnnotations.JetMetadata.sstg, JetBrains.Platform.Core.Ide.JetMetadata.sstg, JetBrains.Platform.Core.IisExpress.JetMetadata.sstg, JetBrains.Platform.Core.MsBuild.JetMetadata.sstg, JetBrains.Platform.Core.Shell.JetMetadata.sstg, JetBrains.Platform.Core.Text.JetMetadata.sstg, JetBrains.Platform.Interop.CommandLine.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Console.JetMetadata.sstg, JetBrains.Platform.Interop.dotMemoryUnit.Interop.Ide.JetMetadata.sstg, JetBrains.Platform.RdProtocol.JetMetadata.sstg, JetBrains.Psi.Features.Core.JetMetadata.sstg, JetBrains.Psi.Features.SolutionBuilder.JetMetadata.sstg, JetBrains.Psi.Features.src.JetMetadata.sstg, JetBrains.Psi.Features.Tasks.JetMetadata.sstg, JetBrains.Psi.Features.UnitTesting.JetMetadata.sstg, JetBrains.Psi.Features.Web.Core.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.CommandLineCore.JetMetadata.sstg, JetBrains.ReSharperAutomationTools.src.Roslyn.JetMetadata.sstg, JetBrains.Rider.RdBackend.Common.JetMetadata.sstg, JetBrains.Rider.RiderFlow.JetMetadata.sstg], module files (265pcs)[antlr.runtime.dll, Appccelerate.StateMachine.dll, AzureDevOps.Authentication.dll, Bitbucket.Authentication.dll, BouncyCastle.Crypto.dll, ClrStack.exe, ClrStack32.exe, CookComputing.XmlRpcV2.dll, CsLex.exe, DotNetZip.dll, ErrorsGen.exe, git-credential-manager.exe, GitHub.Authentication.exe, ICSharpCode.SharpZipLib.dll, JetBrains.Annotations.dll, JetBrains.Build.Platform.DistributedCache.dll, JetBrains.CommandLine.Interop.dll, JetBrains.Decompiler.Core.dll, JetBrains.dotMemoryUnit.Interop.Console.dll, JetBrains.dotMemoryUnit.Interop.Ide.dll, JetBrains.Lifetimes.dll, JetBrains.Microsoft.Diagnostics.Runtime.dll, JetBrains.MSBuild.Logger.Api.dll, JetBrains.Platform.BuildEngine.dll, JetBrains.Platform.BuildInterfaces.dll, JetBrains.Platform.ComponentModel.dll, JetBrains.Platform.Core.dll, JetBrains.Platform.DocumentManager.dll, JetBrains.Platform.DocumentModel.dll, JetBrains.Platform.Ide.dll, JetBrains.Platform.IisExpressHost.dll, JetBrains.Platform.IisExpressTask.dll, JetBrains.Platform.Interop.dll, JetBrains.Platform.Metadata.dll, JetBrains.Platform.MsBuildAutoDetectTask.dll, JetBrains.Platform.MsBuildEventLogger.dll, JetBrains.Platform.MsBuildHost.dll, JetBrains.Platform.MsBuildTask.dll, JetBrains.Platform.MsBuildTask.v15.dll, JetBrains.Platform.MsBuildTask.v4.dll, JetBrains.Platform.ProjectModel.dll, JetBrains.Platform.ProjectModel.Host.dll, JetBrains.Platform.RdFramework.Actions.dll, JetBrains.Platform.RdFramework.Shell.dll, JetBrains.Platform.RdProtocol.dll, JetBrains.Platform.Satellite.exe, JetBrains.Platform.Shell.dll, JetBrains.Platform.Symbols.dll, JetBrains.Platform.TextControl.dll, JetBrains.Platform.Util.dll, JetBrains.Platform.Util.Text.dll, JetBrains.Profiler.Api.dll, JetBrains.Profiler.SelfApi.dll, JetBrains.Psi.Features.Tasks.Build.dll, JetBrains.RdBackend.Common.dll, JetBrains.RdFramework.dll, JetBrains.RdFramework.Reflection.dll, JetBrains.ReSharper.Daemon.BuildScripts.dll, JetBrains.ReSharper.Daemon.CSharp.dll, JetBrains.ReSharper.Daemon.dll, JetBrains.ReSharper.Daemon.Engine.dll, JetBrains.ReSharper.Daemon.Protobuf.dll, JetBrains.ReSharper.Daemon.Resx.dll, JetBrains.ReSharper.Daemon.Specific.dll, JetBrains.ReSharper.Daemon.VB.dll, JetBrains.ReSharper.Daemon.Web.dll, JetBrains.ReSharper.Daemon.Xaml.dll, JetBrains.ReSharper.Daemon.Xml.dll, JetBrains.ReSharper.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.BuildScripts.dll, JetBrains.ReSharper.Feature.Services.CSharp.dll, JetBrains.ReSharper.Feature.Services.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.CSharp.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.dll, JetBrains.ReSharper.Feature.Services.ExternalSources.VB.dll, JetBrains.ReSharper.Feature.Services.Protobuf.dll, JetBrains.ReSharper.Feature.Services.RegExp.dll, JetBrains.ReSharper.Feature.Services.Resx.dll, JetBrains.ReSharper.Feature.Services.VB.dll, JetBrains.ReSharper.Feature.Services.Web.dll, JetBrains.ReSharper.Feature.Services.Xaml.dll, JetBrains.ReSharper.Feature.Services.Xml.dll, JetBrains.ReSharper.Features.Altering.dll, JetBrains.ReSharper.Features.Environment.dll, JetBrains.ReSharper.Features.Inspections.dll, JetBrains.ReSharper.Features.Intellisense.dll, JetBrains.ReSharper.Features.Intellisense.VB.dll, JetBrains.ReSharper.Features.Internal.dll, JetBrains.ReSharper.Features.Navigation.dll, JetBrains.ReSharper.Features.Navigation.VB.dll, JetBrains.ReSharper.Features.RegExp.dll, JetBrains.ReSharper.Features.ReSpeller.dll, JetBrains.ReSharper.Features.Running.dll, JetBrains.ReSharper.Features.SolBuilderDuo.dll, JetBrains.ReSharper.Features.StructuralSearch.dll, JetBrains.ReSharper.Features.Web.dll, JetBrains.ReSharper.Features.Web.Linters.dll, JetBrains.ReSharper.Features.Xml.dll, JetBrains.ReSharper.I18n.Services.Asp.CSharp.dll, JetBrains.ReSharper.I18n.Services.Asp.dll, JetBrains.ReSharper.I18n.Services.Asp.VB.dll, JetBrains.ReSharper.I18n.Services.CSharp.dll, JetBrains.ReSharper.I18n.Services.dll, JetBrains.ReSharper.I18n.Services.JavaScript.dll, JetBrains.ReSharper.I18n.Services.VB.dll, JetBrains.ReSharper.I18n.Services.Xaml.dll, JetBrains.ReSharper.InplaceRefactorings.dll, JetBrains.ReSharper.Intentions.BuildScripts.dll, JetBrains.ReSharper.Intentions.CSharp.dll, JetBrains.ReSharper.Intentions.dll, JetBrains.ReSharper.Intentions.Resx.dll, JetBrains.ReSharper.Intentions.VB.dll, JetBrains.ReSharper.Intentions.Web.dll, JetBrains.ReSharper.Intentions.Xaml.dll, JetBrains.ReSharper.Intentions.Xml.dll, JetBrains.ReSharper.LiveTemplates.dll, JetBrains.ReSharper.LiveTemplates.VB.dll, JetBrains.ReSharper.NewRefactorings.dll, JetBrains.ReSharper.Psi.BuildScripts.dll, JetBrains.ReSharper.Psi.CSharp.dll, JetBrains.ReSharper.Psi.dll, JetBrains.ReSharper.Psi.IL.dll, JetBrains.ReSharper.Psi.Protobuf.dll, JetBrains.ReSharper.Psi.RegExp.dll, JetBrains.ReSharper.Psi.Resx.dll, JetBrains.ReSharper.Psi.VB.ConstantCalculatorLib.dll, JetBrains.ReSharper.Psi.VB.dll, JetBrains.ReSharper.Psi.Web.dll, JetBrains.ReSharper.Psi.Xaml.dll, JetBrains.ReSharper.Psi.Xml.dll, JetBrains.ReSharper.Refactorings.BuildScripts.dll, JetBrains.ReSharper.Refactorings.CSharp.dll, JetBrains.ReSharper.Refactorings.Html.dll, JetBrains.ReSharper.Refactorings.VB.dll, JetBrains.ReSharper.Refactorings.Xaml.dll, JetBrains.ReSharper.Resources.dll, JetBrains.ReSharper.SolutionAnalysis.dll, JetBrains.ReSharper.TestRunner.Abstractions.dll, JetBrains.ReSharper.TestRunner.Adapters.MsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit2.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.NUnit3.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.UWP.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.VsTest.Tasks.dll, JetBrains.ReSharper.TestRunner.Adapters.XUnit.Tasks.dll, JetBrains.ReSharper.UnitTestFramework.dll, JetBrains.ReSharper.UnitTesting.Analysis.dll, JetBrains.ReSharper.UnitTesting.Analysis.VB.dll, JetBrains.ReSharper.UnitTesting.MSTest.Provider.dll, JetBrains.ReSharper.UnitTesting.VsTest.Provider.dll, JetBrains.ReSharper.UnitTestProvider.JavaScript.dll, JetBrains.ReSharper.UnitTestProvider.nUnit.dll, JetBrains.ReSharper.UnitTestProvider.Xunit.dll, JetBrains.ReSharper.UnitTestRunner.dotMemoryUnit.dll, JetBrains.ReSharper.UnitTestRunner.JavaScript.dll, JetBrains.ReSharperAutomationTools.CommandLine.Common.dll, JetBrains.RiderFlow.exe, JetBrains.Roslyn.Host.dll, JetBrains.Roslyn.Worker.exe, JetBrains.SignatureVerifier.dll, JetBrains.TeamCity.ServiceMessages.dll, JetBrains.Toolset.ScriptSourcesCompiler.Interface.dll, JetBrains.UsageStatistics.dll, JetLauncher32.exe, JetLauncher32c.exe, JetLauncher64.exe, JetLauncher64c.exe, JetLauncherIL.exe, JetLauncherILc.exe, Lucene.Net.dll, Microsoft.Alm.Authentication.dll, Microsoft.Bcl.AsyncInterfaces.dll, Microsoft.CodeAnalysis.CSharp.dll, Microsoft.CodeAnalysis.CSharp.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.CSharp.Features.dll, Microsoft.CodeAnalysis.CSharp.Workspaces.dll, Microsoft.CodeAnalysis.dll, Microsoft.CodeAnalysis.ExpressionEvaluator.ExpressionCompiler.dll, Microsoft.CodeAnalysis.Features.dll, Microsoft.CodeAnalysis.FlowAnalysis.Utilities.dll, Microsoft.CodeAnalysis.Scripting.dll, Microsoft.CodeAnalysis.VisualBasic.dll, Microsoft.CodeAnalysis.VisualBasic.Features.dll, Microsoft.CodeAnalysis.VisualBasic.Workspaces.dll, Microsoft.CodeAnalysis.Workspaces.dll, Microsoft.Deployment.Compression.Cab.dll, Microsoft.Deployment.Compression.dll, Microsoft.Diagnostics.NETCore.Client.dll, Microsoft.DiaSymReader.dll, Microsoft.Extensions.DependencyModel.dll, Microsoft.IdentityModel.Clients.ActiveDirectory.dll, Microsoft.Owin.dll, Microsoft.Owin.FileSystems.dll, Microsoft.Owin.Host.HttpListener.dll, Microsoft.Owin.Hosting.dll, Microsoft.Owin.StaticFiles.dll, Microsoft.TestPlatform.CommunicationUtilities.dll, Microsoft.TestPlatform.CoreUtilities.dll, Microsoft.TestPlatform.PlatformAbstractions.dll, Microsoft.TestPlatform.Utilities.dll, Microsoft.TestPlatform.VsTestConsole.TranslationLayer.dll, Microsoft.VisualBasic.dll, Microsoft.VisualStudio.TestPlatform.Common.dll, Microsoft.VisualStudio.TestPlatform.ObjectModel.dll, Microsoft.Web.XmlTransform.dll, monodoc.dll, Newtonsoft.Json.dll, NuGet.Commands.dll, NuGet.Common.dll, NuGet.Configuration.dll, NuGet.Core.dll, NuGet.Credentials.dll, NuGet.DependencyResolver.Core.dll, NuGet.Frameworks.dll, NuGet.LibraryModel.dll, NuGet.PackageManagement.dll, NuGet.Packaging.dll, NuGet.ProjectModel.dll, NuGet.Protocol.dll, NuGet.Resolver.dll, NuGet.Versioning.dll, NVelocity.dll, OperatorsResolveCacheGenerator.exe, Owin.dll, PsiGen.exe, Sprache.dll, SQLitePCLRaw.core.dll, System.Buffers.dll, System.CodeDom.dll, System.Collections.Immutable.dll, System.Composition.AttributedModel.dll, System.Composition.Convention.dll, System.Composition.Hosting.dll, System.Composition.Runtime.dll, System.Composition.TypedParts.dll, System.Configuration.ConfigurationManager.dll, System.Design.dll, System.Diagnostics.EventLog.dll, System.Drawing.Common.dll, System.Drawing.dll, System.IO.FileSystem.AccessControl.dll, System.IO.Ports.dll, System.Memory.dll, System.Numerics.Vectors.dll, System.Reflection.Metadata.dll, System.Runtime.CompilerServices.Unsafe.dll, System.Runtime.InteropServices.RuntimeInformation.dll, System.Security.AccessControl.dll, System.Security.Cryptography.ProtectedData.dll, System.Security.Permissions.dll, System.Security.Principal.Windows.dll, System.ServiceModel.dll, System.ServiceProcess.ServiceController.dll, System.Text.Encoding.CodePages.dll, System.Threading.AccessControl.dll, System.Threading.Tasks.Extensions.dll, TokenGenerator.exe, UIAutomationClient.dll, UIAutomationProvider.dll, UIAutomationTypes.dll, Vestris.ResourceLib.dll, WindowsFormsIntegration.dll, xunit.abstractions.dll, xunit.dll, xunit.runner.utility.net452.dll, YamlDotNet.dll], NuGet files (0pcs)[].
16:29:23.912 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix).
16:29:23.912 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE (no PID suffix) has the value “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\Plugins\pluginsInfo.xml”.
16:29:23.912 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE_PID_0000058C (PID-specific).
16:29:23.912 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ADDITIONAL_DEPLOYED_PACKAGES_FILE_PID_0000058C (PID-specific) has no value.
16:29:23.912 |V| EnvironmentVariablesUtil      | :1                 | Only one environment variable is set, no conflict, using its value for additional packages.
16:29:23.978 |V| AdditionalDeployedPackages    | :1                 | Additional Ad-Hoc Application Package: unity version 2022.1.0.129 by com.intellij.resharper (<NULL>) at “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\Plugins\Unity”; built on 2022-03-19T21:02:47.0000000, best before <n/a>, BD <n/a>; files: (4pcs)[“@JetBrains.ReSharper.Plugins.Json.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Unity.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Unity.RiderFlow.dll (whatever assembly)”, “@JetBrains.ReSharper.Plugins.Yaml.dll (whatever assembly)”].
16:29:24.407 |V| DeployedPackages              | :1                 | Trying to load cache for “Identity for (2pcs)[“Discovered Folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin””, “Discovered Folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\Plugins\Unity””]” from file C:\Users\haris\AppData\Local\Temp\JetBrains\Shared\v221\DeployedPackages\CatalogAndComponents.0x7EEB8C01B66BC3E304EABF023812949A.dmp.
16:29:24.408 |V| DeployedPackages              | :1                 | The cache file for the current configuration does not exist. Existence: Missing, .NET: False
16:29:24.408 |V| DeployedPackages              | :1                 | No cached DeployedPackagesCache for “Identity for (2pcs)[“Discovered Folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin””, “Discovered Folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\Plugins\Unity””]” is available, creating a new one.
16:29:24.451 |V| DeployedPackages              | :1                 | Loading 20 package metadata files expanded into folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin”.
16:29:24.454 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.ExternalAnnotations.JetMetadata.sstg”.
16:29:24.578 |V| DeployedPackages              | :1                 | Has an application package for subplatform ExternalAnnotations.
16:29:24.583 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Core.Ide.JetMetadata.sstg”.
16:29:24.594 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Core\Ide.
16:29:24.594 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Core.IisExpress.JetMetadata.sstg”.
16:29:24.596 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Core\IisExpress.
16:29:24.596 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Core.MsBuild.JetMetadata.sstg”.
16:29:24.597 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Core\MsBuild.
16:29:24.597 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Core.Shell.JetMetadata.sstg”.
16:29:24.603 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Core\Shell.
16:29:24.603 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Core.Text.JetMetadata.sstg”.
16:29:24.606 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Core\Text.
16:29:24.607 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Interop.CommandLine.JetMetadata.sstg”.
16:29:24.608 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Interop\CommandLine.
16:29:24.608 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Interop.dotMemoryUnit.Interop.Console.JetMetadata.sstg”.
16:29:24.610 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Interop\dotMemoryUnit\Interop.Console.
16:29:24.610 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.Interop.dotMemoryUnit.Interop.Ide.JetMetadata.sstg”.
16:29:24.611 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\Interop\dotMemoryUnit\Interop.Ide.
16:29:24.612 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Platform.RdProtocol.JetMetadata.sstg”.
16:29:24.613 |V| DeployedPackages              | :1                 | Has an application package for subplatform Platform\RdProtocol.
16:29:24.613 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.Core.JetMetadata.sstg”.
16:29:24.622 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\Core.
16:29:24.622 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.SolutionBuilder.JetMetadata.sstg”.
16:29:24.626 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\SolutionBuilder.
16:29:24.626 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.src.JetMetadata.sstg”.
16:29:24.651 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\src.
16:29:24.651 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.Tasks.JetMetadata.sstg”.
16:29:24.655 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\Tasks.
16:29:24.655 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.UnitTesting.JetMetadata.sstg”.
16:29:24.658 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\UnitTesting.
16:29:24.659 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Psi.Features.Web.Core.JetMetadata.sstg”.
16:29:24.672 |V| DeployedPackages              | :1                 | Has an application package for subplatform Psi.Features\Web\Core.
16:29:24.672 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.ReSharperAutomationTools.src.CommandLineCore.JetMetadata.sstg”.
16:29:24.674 |V| DeployedPackages              | :1                 | Has an application package for subplatform ReSharperAutomationTools\src\CommandLineCore.
16:29:24.674 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.ReSharperAutomationTools.src.Roslyn.JetMetadata.sstg”.
16:29:24.676 |V| DeployedPackages              | :1                 | Has an application package for subplatform ReSharperAutomationTools\src\Roslyn.
16:29:24.676 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Rider.RdBackend.Common.JetMetadata.sstg”.
16:29:24.680 |V| DeployedPackages              | :1                 | Has an application package for subplatform Rider\RdBackend.Common.
16:29:24.680 |V| DeployedPackages              | :1                 | Loading metadata file “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\bin\JetBrains.Rider.RiderFlow.JetMetadata.sstg”.
16:29:24.682 |V| DeployedPackages              | :1                 | Has an application package for subplatform Rider\RiderFlow.
16:29:24.682 |V| DeployedPackages              | :1                 | Loading 0 package metadata files expanded into folder “C:\Users\haris\Documents\GitHub\Kompjuterska-grafika\Main project\Tanks\Library\RiderFlow\2022.1.0.129\Backend~\Plugins\Unity”.
16:29:24.684 |V| DeployedPackages              | :1                 | NuGet packages to be expanded: (0pcs)[].
16:29:24.684 |V| DeployedPackages              | :1                 | Loaded 21 package metadata files.
16:29:24.685 |V| DeployedPackages              | :1                 | Merging components from all packages.
16:29:24.690 |V| DeployedPackages              | :1                 | Done merging components from all packages, added 146 new components.
16:29:25.253 |V| DeployedPackages              | :1                 | Total collected resolvable assemblies: 255 from 21 packages.
16:29:25.253 |V| DeployedPackages              | :1                 | Total collected assembly references whitelisted to be possibly missing at runtime: JetBrains.Metadata.Utils.AssemblyNameInfo[].
16:29:25.262 |V| DeployedPackages              | :1                 | Processing DLLs and components in package JetBrains.ExternalAnnotations.
